day,date,post_time,content_type,product,hook,script,cta,hashtags,caption,text_overlay,status
5,2026-03-04,20:00,asmr_satisfying,Antibacterial Wall Paint – Strong Repair Latex Paint with Roller Brush for Living Room & Kitchen,TikTok made me buy it and I'm not mad: Antibacterial Wall Paint,"[0-3s] TikTok made me buy it and I'm not mad: Antibacterial Wall Paint
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 45.00,#tiktokmademebuyit #amazonfinds #musthave #kitchenhacks #kitchenorganization #cookinghacks,"The way this changed everything... ✨

Antibacterial Wall Paint – Strong Repair Latex Paint with Roller Brush for Living Room & Kitchen - link in bio!",Wait for it...|This is genius|Only 45.00|Link in bio 🔗,scheduled
5,2026-03-04,22:00,asmr_satisfying,Antibacterial Wall Paint – Strong Repair Latex Paint with Roller Brush for Living Room & Kitchen,"If you're still using regular organizers, stop ✋","[0-3s] If you're still using regular organizers, stop ✋
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 45.00,#tiktokmademebuyit #amazonfinds #musthave #kitchenhacks #kitchenorganization #cookinghacks,"Add to cart energy 🛒✨

Antibacterial Wall Paint – Strong Repair Latex Paint with Roller Brush for Living Room & Kitchen
Link in bio!",Wait for it...|This is genius|Only 45.00|Link in bio 🔗,scheduled
6,2026-03-05,19:00,storytime,"Baby Groot Pen Pot Tree Man Pens Holder or Flower Pot with Drainage Hole Perfect for a Tiny Succulents Plants 6"" (Grayish Brown)",Storytime: how this changed my life,"[0-5s] Storytime: how this changed my life
[5-15s] Tell relatable story about the problem
[15-30s] Discovery moment
[30-45s] Using the product
[45-60s] Results + recommendation
[60-75s] CTA + personal endorsement",Link in bio - game changer!,#storytime #review #honestreview #worthit,"Real talk about Baby Groot Pen Pot Tree Man Pens Holder or Flower Pot with Drainage Hole Perfect for a Tiny Succulents Plants 6"" (Grayish Brown)

Spoiler: 10/10 recommend ⭐
Link in bio!",Storytime 📖|Part 1,scheduled
6,2026-03-05,21:00,storytime,"Baby Groot Pen Pot Tree Man Pens Holder or Flower Pot with Drainage Hole Perfect for a Tiny Succulents Plants 6"" (Grayish Brown)",Storytime: how this changed my life,"[0-5s] Storytime: how this changed my life
[5-15s] Tell relatable story about the problem
[15-30s] Discovery moment
[30-45s] Using the product
[45-60s] Results + recommendation
[60-75s] CTA + personal endorsement",Link in bio - game changer!,#storytime #review #honestreview #worthit,"Real talk about Baby Groot Pen Pot Tree Man Pens Holder or Flower Pot with Drainage Hole Perfect for a Tiny Succulents Plants 6"" (Grayish Brown)

Spoiler: 10/10 recommend ⭐
Link in bio!",Storytime 📖|Part 1,scheduled
7,2026-03-06,12:00,product_demo,Bathroom Organizer Countertop Storage Caddy,This Bathroom Organizer Countertop went viral for a reason,"[0-3s] This Bathroom Organizer Countertop went viral for a reason
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 23.99,#tiktokmademebuyit #amazonfinds #musthave #bathroomorganization #bathroomdecor #selfcare,"Why didn't anyone tell me about Bathroom Organizer Countertop Storage Caddy sooner?! 🤯

Link in bio + use code TIKTOK10",Wait for it...|This is genius|Only 23.99|Link in bio 🔗,scheduled
7,2026-03-06,19:00,product_demo,Bathroom Organizer Countertop Storage Caddy,The way this Bathroom Organizer Countertop changed everything...,"[0-3s] The way this Bathroom Organizer Countertop changed everything...
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 23.99,#tiktokmademebuyit #amazonfinds #musthave #bathroomorganization #bathroomdecor #selfcare,"The way this changed everything... ✨

Bathroom Organizer Countertop Storage Caddy - link in bio!",Wait for it...|This is genius|Only 23.99|Link in bio 🔗,scheduled
7,2026-03-06,12:00,product_demo,Bathroom Organizer Countertop Storage Caddy,This Bathroom Organizer Countertop went viral for a reason,"[0-3s] This Bathroom Organizer Countertop went viral for a reason
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 23.99,#tiktokmademebuyit #amazonfinds #musthave #bathroomorganization #bathroomdecor #selfcare,"Add to cart energy 🛒✨

Bathroom Organizer Countertop Storage Caddy
Link in bio!",Wait for it...|This is genius|Only 23.99|Link in bio 🔗,scheduled
8,2026-03-07,8:00,before_after,Cabinet Pan Organizer Rack 5 Tier,The before and after will shock you 😱,"[0-3s] The before and after will shock you 😱
[3-5s] Show messy/problem state
[5-8s] Add Cabinet Pan Organizer Rack 5 Tier 
[8-12s] Quick transformation montage
[12-15s] Reveal organized/beautiful result
[15-20s] Your reaction + CTA",Get organized - link in bio!,#beforeandafter #transformation #organization #satisfying,"POV: You discovered the Cabinet Pan Organizer Rack 5 Tier ✨

Link in bio to transform your space!",Before 😫|After ✨|Game changer!,scheduled
8,2026-03-07,20:00,before_after,Cabinet Pan Organizer Rack 5 Tier,The before and after will shock you 😱,"[0-3s] The before and after will shock you 😱
[3-5s] Show messy/problem state
[5-8s] Add Cabinet Pan Organizer Rack 5 Tier 
[8-12s] Quick transformation montage
[12-15s] Reveal organized/beautiful result
[15-20s] Your reaction + CTA",Get organized - link in bio!,#beforeandafter #transformation #organization #satisfying,"POV: You discovered the Cabinet Pan Organizer Rack 5 Tier ✨

Link in bio to transform your space!",Before 😫|After ✨|Game changer!,scheduled
9,2026-03-08,13:00,transformation,Cable Management Box Cord Organizer,The way this Cable Management Box changed everything...,"[0-3s] The way this Cable Management Box changed everything...
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 32.99,#tiktokmademebuyit #amazonfinds #musthave,"Add to cart energy 🛒✨

Cable Management Box Cord Organizer
Link in bio!",Wait for it...|This is genius|Only 32.99|Link in bio 🔗,scheduled
9,2026-03-08,21:00,transformation,Cable Management Box Cord Organizer,"If you're still using regular organizers, stop ✋","[0-3s] If you're still using regular organizers, stop ✋
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 32.99,#tiktokmademebuyit #amazonfinds #musthave,"POV: You found the perfect Cable Management Box Cord Organizer 🥹

Link in bio!",Wait for it...|This is genius|Only 32.99|Link in bio 🔗,scheduled
10,2026-03-09,9:00,tips_educational,Closet Organizer Storage Bins Foldable Fabric Baskets,POV: You finally found the perfect Closet Organizer Storage,"[0-3s] POV: You finally found the perfect Closet Organizer Storage
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 36.99,#tiktokmademebuyit #amazonfinds #musthave,"Add to cart energy 🛒✨

Closet Organizer Storage Bins Foldable Fabric Baskets
Link in bio!",Wait for it...|This is genius|Only 36.99|Link in bio 🔗,scheduled
10,2026-03-09,15:00,tips_educational,Closet Organizer Storage Bins Foldable Fabric Baskets,Stop scrolling if you hate messy spaces,"[0-3s] Stop scrolling if you hate messy spaces
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 36.99,#tiktokmademebuyit #amazonfinds #musthave,"This Closet Organizer Storage Bins Foldable Fabric Baskets went viral for a reason 🔥

Get yours - link in bio!",Wait for it...|This is genius|Only 36.99|Link in bio 🔗,scheduled
10,2026-03-09,9:00,tips_educational,Closet Organizer Storage Bins Foldable Fabric Baskets,TikTok made me buy it and I'm not mad: Closet Organizer Storage,"[0-3s] TikTok made me buy it and I'm not mad: Closet Organizer Storage
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 36.99,#tiktokmademebuyit #amazonfinds #musthave,"The way this changed everything... ✨

Closet Organizer Storage Bins Foldable Fabric Baskets - link in bio!",Wait for it...|This is genius|Only 36.99|Link in bio 🔗,scheduled
11,2026-03-10,20:00,asmr_satisfying,"D5 Starry Moon Lamp 8Cm - LED Night Light with Stand, Perfect for Bedroom Decor and Gifts",POV: You finally found the perfect D5 Starry Moon,"[0-3s] POV: You finally found the perfect D5 Starry Moon
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 7.99,#tiktokmademebuyit #amazonfinds #musthave #bedroomdecor #roommakeover #homedecor,"Why didn't anyone tell me about D5 Starry Moon Lamp 8Cm - LED Night Light with Stand, Perfect for Bedroom Decor and Gifts sooner?! 🤯

Link in bio + use code TIKTOK10",Wait for it...|This is genius|Only 7.99|Link in bio 🔗,scheduled
11,2026-03-10,22:00,asmr_satisfying,"D5 Starry Moon Lamp 8Cm - LED Night Light with Stand, Perfect for Bedroom Decor and Gifts",This is the D5 Starry Moon your bedroom needs,"[0-3s] This is the D5 Starry Moon your bedroom needs
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 7.99,#tiktokmademebuyit #amazonfinds #musthave #bedroomdecor #roommakeover #homedecor,"This D5 Starry Moon Lamp 8Cm - LED Night Light with Stand, Perfect for Bedroom Decor and Gifts went viral for a reason 🔥

Get yours - link in bio!",Wait for it...|This is genius|Only 7.99|Link in bio 🔗,scheduled
12,2026-03-11,19:00,storytime,DALI Melting Clock,Storytime: how this changed my life,"[0-5s] Storytime: how this changed my life
[5-15s] Tell relatable story about the problem
[15-30s] Discovery moment
[30-45s] Using the product
[45-60s] Results + recommendation
[60-75s] CTA + personal endorsement",Link in bio - game changer!,#storytime #review #honestreview #worthit,"Real talk about DALI Melting Clock

Spoiler: 10/10 recommend ⭐
Link in bio!",Storytime 📖|Part 1,scheduled
12,2026-03-11,21:00,storytime,DALI Melting Clock,Storytime: how this changed my life,"[0-5s] Storytime: how this changed my life
[5-15s] Tell relatable story about the problem
[15-30s] Discovery moment
[30-45s] Using the product
[45-60s] Results + recommendation
[60-75s] CTA + personal endorsement",Link in bio - game changer!,#storytime #review #honestreview #worthit,"Real talk about DALI Melting Clock

Spoiler: 10/10 recommend ⭐
Link in bio!",Storytime 📖|Part 1,scheduled
13,2026-03-12,12:00,product_demo,Desk Organizer with Drawer Office Supplies Caddy,POV: You finally found the perfect Desk Organizer with,"[0-3s] POV: You finally found the perfect Desk Organizer with
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 25.99,#tiktokmademebuyit #amazonfinds #musthave #desksetup #officedecor #workfromhome,"Add to cart energy 🛒✨

Desk Organizer with Drawer Office Supplies Caddy
Link in bio!",Wait for it...|This is genius|Only 25.99|Link in bio 🔗,scheduled
13,2026-03-12,19:00,product_demo,Desk Organizer with Drawer Office Supplies Caddy,"If you have a small apartment, you NEED this","[0-3s] If you have a small apartment, you NEED this
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 25.99,#tiktokmademebuyit #amazonfinds #musthave #desksetup #officedecor #workfromhome,"Why didn't anyone tell me about Desk Organizer with Drawer Office Supplies Caddy sooner?! 🤯

Link in bio + use code TIKTOK10",Wait for it...|This is genius|Only 25.99|Link in bio 🔗,scheduled
13,2026-03-12,12:00,product_demo,Desk Organizer with Drawer Office Supplies Caddy,This is the Desk Organizer with your bedroom needs,"[0-3s] This is the Desk Organizer with your bedroom needs
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 25.99,#tiktokmademebuyit #amazonfinds #musthave #desksetup #officedecor #workfromhome,"This Desk Organizer with Drawer Office Supplies Caddy went viral for a reason 🔥

Get yours - link in bio!",Wait for it...|This is genius|Only 25.99|Link in bio 🔗,scheduled
14,2026-03-13,8:00,before_after,"Dimmable Candle Warmer Lamp – Efficient, Flame-Free Fragrance",The before and after will shock you 😱,"[0-3s] The before and after will shock you 😱
[3-5s] Show messy/problem state
[5-8s] Add Dimmable Candle Warmer Lamp – Efficient, Flame-Free Fragrance 
[8-12s] Quick transformation montage
[12-15s] Reveal organized/beautiful result
[15-20s] Your reaction + CTA",Get organized - link in bio!,#beforeandafter #transformation #organization #satisfying,"POV: You discovered the Dimmable Candle Warmer Lamp – Efficient, Flame-Free Fragrance ✨

Link in bio to transform your space!",Before 😫|After ✨|Game changer!,scheduled
14,2026-03-13,20:00,before_after,"Dimmable Candle Warmer Lamp – Efficient, Flame-Free Fragrance",The before and after will shock you 😱,"[0-3s] The before and after will shock you 😱
[3-5s] Show messy/problem state
[5-8s] Add Dimmable Candle Warmer Lamp – Efficient, Flame-Free Fragrance 
[8-12s] Quick transformation montage
[12-15s] Reveal organized/beautiful result
[15-20s] Your reaction + CTA",Get organized - link in bio!,#beforeandafter #transformation #organization #satisfying,"POV: You discovered the Dimmable Candle Warmer Lamp – Efficient, Flame-Free Fragrance ✨

Link in bio to transform your space!",Before 😫|After ✨|Game changer!,scheduled
15,2026-03-14,13:00,transformation,"Dog Car Seat Cover, Back Seat Cover for Dogs Pet Car Seat Protector Waterproof Bench Car Seat Cover, Non-Slip Reat Seat Cover Fits Middle Armrest for Most Cars Trucks Suvs - Black",POV: You finally found the perfect Dog Car Seat,"[0-3s] POV: You finally found the perfect Dog Car Seat
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 32.94,#tiktokmademebuyit #amazonfinds #musthave #caraccessories #cargadgets #carhacks #petsoftiktok #dogtok,"The way this changed everything... ✨

Dog Car Seat Cover, Back Seat Cover for Dogs Pet Car Seat Protector Waterproof Bench Car Seat Cover, Non-Slip Reat Seat Cover Fits Middle Armrest for Most Cars Trucks Suvs - Black - link in bio!",Wait for it...|This is genius|Only 32.94|Link in bio 🔗,scheduled
15,2026-03-14,21:00,transformation,"Dog Car Seat Cover, Back Seat Cover for Dogs Pet Car Seat Protector Waterproof Bench Car Seat Cover, Non-Slip Reat Seat Cover Fits Middle Armrest for Most Cars Trucks Suvs - Black",This is your sign to get Dog Car Seat,"[0-3s] This is your sign to get Dog Car Seat
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 32.94,#tiktokmademebuyit #amazonfinds #musthave #caraccessories #cargadgets #carhacks #petsoftiktok #dogtok,"POV: You found the perfect Dog Car Seat Cover, Back Seat Cover for Dogs Pet Car Seat Protector Waterproof Bench Car Seat Cover, Non-Slip Reat Seat Cover Fits Middle Armrest for Most Cars Trucks Suvs - Black 🥹

Link in bio!",Wait for it...|This is genius|Only 32.94|Link in bio 🔗,scheduled
16,2026-03-15,9:00,tips_educational,Drawer Organizer Adjustable Expandable Utensil Tray,Things that just make sense: Drawer Organizer Adjustable,"[0-3s] Things that just make sense: Drawer Organizer Adjustable
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 22.99,#tiktokmademebuyit #amazonfinds #musthave,"Why didn't anyone tell me about Drawer Organizer Adjustable Expandable Utensil Tray sooner?! 🤯

Link in bio + use code TIKTOK10",Wait for it...|This is genius|Only 22.99|Link in bio 🔗,scheduled
16,2026-03-15,15:00,tips_educational,Drawer Organizer Adjustable Expandable Utensil Tray,"If you're still using regular organizers, stop ✋","[0-3s] If you're still using regular organizers, stop ✋
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 22.99,#tiktokmademebuyit #amazonfinds #musthave,"This Drawer Organizer Adjustable Expandable Utensil Tray went viral for a reason 🔥

Get yours - link in bio!",Wait for it...|This is genius|Only 22.99|Link in bio 🔗,scheduled
16,2026-03-15,9:00,tips_educational,Drawer Organizer Adjustable Expandable Utensil Tray,"If you're still using regular organizers, stop ✋","[0-3s] If you're still using regular organizers, stop ✋
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 22.99,#tiktokmademebuyit #amazonfinds #musthave,"This Drawer Organizer Adjustable Expandable Utensil Tray went viral for a reason 🔥

Get yours - link in bio!",Wait for it...|This is genius|Only 22.99|Link in bio 🔗,scheduled
17,2026-03-16,20:00,asmr_satisfying,Example product,Stop scrolling if you hate messy spaces,"[0-3s] Stop scrolling if you hate messy spaces
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 100.00,#tiktokmademebuyit #amazonfinds #musthave,"Add to cart energy 🛒✨

Example product
Link in bio!",Wait for it...|This is genius|Only 100.00|Link in bio 🔗,scheduled
17,2026-03-16,22:00,asmr_satisfying,Example product,The way this Example product changed everything...,"[0-3s] The way this Example product changed everything...
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 100.00,#tiktokmademebuyit #amazonfinds #musthave,"Why didn't anyone tell me about Example product sooner?! 🤯

Link in bio + use code TIKTOK10",Wait for it...|This is genius|Only 100.00|Link in bio 🔗,scheduled
18,2026-03-17,19:00,storytime,Example product,Storytime: how this changed my life,"[0-5s] Storytime: how this changed my life
[5-15s] Tell relatable story about the problem
[15-30s] Discovery moment
[30-45s] Using the product
[45-60s] Results + recommendation
[60-75s] CTA + personal endorsement",Link in bio - game changer!,#storytime #review #honestreview #worthit,"Real talk about Example product

Spoiler: 10/10 recommend ⭐
Link in bio!",Storytime 📖|Part 1,scheduled
18,2026-03-17,21:00,storytime,Example product,Storytime: how this changed my life,"[0-5s] Storytime: how this changed my life
[5-15s] Tell relatable story about the problem
[15-30s] Discovery moment
[30-45s] Using the product
[45-60s] Results + recommendation
[60-75s] CTA + personal endorsement",Link in bio - game changer!,#storytime #review #honestreview #worthit,"Real talk about Example product

Spoiler: 10/10 recommend ⭐
Link in bio!",Storytime 📖|Part 1,scheduled
19,2026-03-18,12:00,product_demo,Example product,This Example product went viral for a reason,"[0-3s] This Example product went viral for a reason
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 100.00,#tiktokmademebuyit #amazonfinds #musthave,"This Example product went viral for a reason 🔥

Get yours - link in bio!",Wait for it...|This is genius|Only 100.00|Link in bio 🔗,scheduled
19,2026-03-18,19:00,product_demo,Example product,Things that just make sense: Example product,"[0-3s] Things that just make sense: Example product
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 100.00,#tiktokmademebuyit #amazonfinds #musthave,"The way this changed everything... ✨

Example product - link in bio!",Wait for it...|This is genius|Only 100.00|Link in bio 🔗,scheduled
19,2026-03-18,12:00,product_demo,Example product,The way this Example product changed everything...,"[0-3s] The way this Example product changed everything...
[3-8s] Show the product in use - highlight key feature
[8-15s] Show result/benefit
[15-20s] Show different use cases
[20-25s] Price reveal with shock face
[25-30s] CTA",Link in bio - only 100.00,#tiktokmademebuyit #amazonfinds #musthave,"The way this changed everything... ✨

Example product - link in bio!",Wait for it...|This is genius|Only 100.00|Link in bio 🔗,scheduled
